Field,ID,Type (Тип),default,en,es,it,pt,ru,tr,fr,en-us,da,de,pl,uk,fi,sv
DesktopScreenshot1,100,Относительный путь (или URL-адрес файла в Центре партнеров),,partner-center-upload/screenshots/en-US/01-policy-switcher.png,partner-center-upload/screenshots/es-ES/01-policy-switcher.png,partner-center-upload/screenshots/it-IT/01-policy-switcher.png,partner-center-upload/screenshots/pt-PT/01-policy-switcher.png,partner-center-upload/screenshots/ru-RU/01-policy-switcher.png,partner-center-upload/screenshots/tr-TR/01-policy-switcher.png,partner-center-upload/screenshots/fr-FR/01-policy-switcher.png,partner-center-upload/screenshots/en-US/01-policy-switcher.png,partner-center-upload/screenshots/da-DK/01-policy-switcher.png,partner-center-upload/screenshots/de-DE/01-policy-switcher.png,partner-center-upload/screenshots/pl-PL/01-policy-switcher.png,partner-center-upload/screenshots/uk-UA/01-policy-switcher.png,partner-center-upload/screenshots/fi-FI/01-policy-switcher.png,partner-center-upload/screenshots/sv-SE/01-policy-switcher.png
DesktopScreenshot2,101,Относительный путь (или URL-адрес файла в Центре партнеров),,partner-center-upload/screenshots/en-US/02-router-profiles.png,partner-center-upload/screenshots/es-ES/02-router-profiles.png,partner-center-upload/screenshots/it-IT/02-router-profiles.png,partner-center-upload/screenshots/pt-PT/02-router-profiles.png,partner-center-upload/screenshots/ru-RU/02-router-profiles.png,partner-center-upload/screenshots/tr-TR/02-router-profiles.png,partner-center-upload/screenshots/fr-FR/02-router-profiles.png,partner-center-upload/screenshots/en-US/02-router-profiles.png,partner-center-upload/screenshots/da-DK/02-router-profiles.png,partner-center-upload/screenshots/de-DE/02-router-profiles.png,partner-center-upload/screenshots/pl-PL/02-router-profiles.png,partner-center-upload/screenshots/uk-UA/02-router-profiles.png,partner-center-upload/screenshots/fi-FI/02-router-profiles.png,partner-center-upload/screenshots/sv-SE/02-router-profiles.png
DesktopScreenshot3,102,Относительный путь (или URL-адрес файла в Центре партнеров),,partner-center-upload/screenshots/en-US/03-profile-settings.png,partner-center-upload/screenshots/es-ES/03-profile-settings.png,partner-center-upload/screenshots/it-IT/03-profile-settings.png,partner-center-upload/screenshots/pt-PT/03-profile-settings.png,partner-center-upload/screenshots/ru-RU/03-profile-settings.png,partner-center-upload/screenshots/tr-TR/03-profile-settings.png,partner-center-upload/screenshots/fr-FR/03-profile-settings.png,partner-center-upload/screenshots/en-US/03-profile-settings.png,partner-center-upload/screenshots/da-DK/03-profile-settings.png,partner-center-upload/screenshots/de-DE/03-profile-settings.png,partner-center-upload/screenshots/pl-PL/03-profile-settings.png,partner-center-upload/screenshots/uk-UA/03-profile-settings.png,partner-center-upload/screenshots/fi-FI/03-profile-settings.png,partner-center-upload/screenshots/sv-SE/03-profile-settings.png
DesktopScreenshot4,103,Относительный путь (или URL-адрес файла в Центре партнеров),,partner-center-upload/screenshots/en-US/04-access-token.png,partner-center-upload/screenshots/es-ES/04-access-token.png,partner-center-upload/screenshots/it-IT/04-access-token.png,partner-center-upload/screenshots/pt-PT/04-access-token.png,partner-center-upload/screenshots/ru-RU/04-access-token.png,partner-center-upload/screenshots/tr-TR/04-access-token.png,partner-center-upload/screenshots/fr-FR/04-access-token.png,partner-center-upload/screenshots/en-US/04-access-token.png,partner-center-upload/screenshots/da-DK/04-access-token.png,partner-center-upload/screenshots/de-DE/04-access-token.png,partner-center-upload/screenshots/pl-PL/04-access-token.png,partner-center-upload/screenshots/uk-UA/04-access-token.png,partner-center-upload/screenshots/fi-FI/04-access-token.png,partner-center-upload/screenshots/sv-SE/04-access-token.png
DesktopScreenshot5,104,Относительный путь (или URL-адрес файла в Центре партнеров),,partner-center-upload/screenshots/en-US/05-application-settings.png,partner-center-upload/screenshots/es-ES/05-application-settings.png,partner-center-upload/screenshots/it-IT/05-application-settings.png,partner-center-upload/screenshots/pt-PT/05-application-settings.png,partner-center-upload/screenshots/ru-RU/05-application-settings.png,partner-center-upload/screenshots/tr-TR/05-application-settings.png,partner-center-upload/screenshots/fr-FR/05-application-settings.png,partner-center-upload/screenshots/en-US/05-application-settings.png,partner-center-upload/screenshots/da-DK/05-application-settings.png,partner-center-upload/screenshots/de-DE/05-application-settings.png,partner-center-upload/screenshots/pl-PL/05-application-settings.png,partner-center-upload/screenshots/uk-UA/05-application-settings.png,partner-center-upload/screenshots/fi-FI/05-application-settings.png,partner-center-upload/screenshots/sv-SE/05-application-settings.png
DesktopScreenshot6,105,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot7,106,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot8,107,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot9,108,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot10,109,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot11,110,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot12,111,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot13,112,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot14,113,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot15,114,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot16,115,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot17,116,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot18,117,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot19,118,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot20,119,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot21,120,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot22,121,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot23,122,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot24,123,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot25,124,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot26,125,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot27,126,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot28,127,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot29,128,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshot30,129,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
DesktopScreenshotCaption1,150,Текст,,"Switch Keenetic routing policies right from the Windows system tray instantly, without opening the router interface.","Cambia al instante las políticas de enrutamiento de Keenetic desde la bandeja del sistema de Windows, sin abrir la interfaz del router.","Cambia subito i criteri di routing Keenetic dall’area di notifica di Windows, senza aprire l’interfaccia del router.","Altere instantaneamente as políticas de encaminhamento do Keenetic na área de notificação do Windows, sem abrir a interface do router.","Мгновенно переключайте политики маршрутизации Keenetic из системного трея Windows, не открывая интерфейс роутера.",Keenetic yönlendirme politikalarını yönlendirici arayüzünü açmadan doğrudan Windows sistem tepsisinden anında değiştirin.,"Changez instantanément de politique de routage Keenetic depuis la zone de notification Windows, sans ouvrir l’interface du routeur.","Switch Keenetic routing policies right from the Windows system tray instantly, without opening the router interface.",Skift Keenetic-routingpolitikker direkte fra meddelelsesområdet i Windows – med det samme og uden at åbne routerens brugerflade.,"Wechseln Sie Keenetic-Routingrichtlinien sofort über den Windows-Infobereich, ohne die Routeroberfläche zu öffnen.",Błyskawicznie przełączaj zasady routingu Keenetic z zasobnika systemowego Windows — bez otwierania interfejsu routera.,"Миттєво перемикайте політики маршрутизації Keenetic із системного трея Windows, не відкриваючи інтерфейс маршрутизатора.",Vaihda Keeneticin reitityskäytäntöjä heti Windowsin ilmaisinalueelta avaamatta reitittimen käyttöliittymää.,Växla Keenetic-routningsprinciper direkt från meddelandefältet i Windows utan att öppna routerns gränssnitt.
DesktopScreenshotCaption2,151,Текст,,"Bind a profile to each Windows network and RouterTray selects it automatically at home, at work, or in the lab.","Asocia un perfil a cada red de Windows y RouterTray lo seleccionará automáticamente en casa, en el trabajo o en el laboratorio.","Associa un profilo a ogni rete Windows e RouterTray lo selezionerà automaticamente a casa, al lavoro o in laboratorio.","Associe um perfil a cada rede Windows e o RouterTray seleciona-o automaticamente em casa, no trabalho ou no laboratório.","Привяжите профиль к каждой сети Windows — RouterTray автоматически выберет его дома, на работе или в лаборатории.","Her Windows ağına bir profil bağlayın; RouterTray evde, işte veya laboratuvarda doğru profili otomatik olarak seçsin.","Associez un profil à chaque réseau Windows : RouterTray le sélectionne automatiquement à la maison, au travail ou au laboratoire.","Bind a profile to each Windows network and RouterTray selects it automatically at home, at work, or in the lab.","Knyt en profil til hvert Windows-netværk, så vælger RouterTray den automatisk derhjemme, på arbejdet eller i laboratoriet.","Verknüpfen Sie jedes Windows-Netzwerk mit einem Profil. RouterTray wählt es zu Hause, im Büro oder im Labor automatisch aus.","Przypisz profil do każdej sieci Windows, a RouterTray wybierze go automatycznie w domu, w pracy lub w laboratorium.","Прив’яжіть профіль до кожної мережі Windows — RouterTray автоматично вибере його вдома, на роботі чи в лабораторії.","Liitä profiili kuhunkin Windows-verkkoon, niin RouterTray valitsee sen automaattisesti kotona, töissä tai laboratoriossa.","Koppla en profil till varje Windows-nätverk så väljer RouterTray den automatiskt hemma, på jobbet eller i labbet."
DesktopScreenshotCaption3,152,Текст,,"Configure router access, credentials, and Windows network bindings in one place.","Configura el acceso al router, las credenciales y las asociaciones de red de Windows desde un solo lugar.","Configura in un unico posto l’accesso al router, le credenziali e le associazioni alle reti Windows.","Configure o acesso ao router, as credenciais e as associações de rede do Windows num único local.","Настраивайте доступ к роутеру, учётные данные и привязки к сетям Windows в одном месте.","Yönlendirici erişimini, kimlik bilgilerini ve Windows ağ bağlantılarını tek bir yerden yapılandırın.","Configurez l’accès au routeur, les identifiants et les associations aux réseaux Windows au même endroit.","Configure router access, credentials, and Windows network bindings in one place.","Konfigurer routeradgang, legitimationsoplysninger og Windows-netværkstilknytninger samlet ét sted.","Konfigurieren Sie Routerzugriff, Anmeldedaten und Windows-Netzwerkzuordnungen zentral an einem Ort.","Skonfiguruj w jednym miejscu dostęp do routera, dane logowania i powiązania z sieciami Windows.","Налаштовуйте доступ до маршрутизатора, облікові дані та прив’язки до мереж Windows в одному місці.","Määritä reitittimen käyttöoikeudet, tunnistetiedot ja Windows-verkkojen sidonnat yhdessä paikassa.","Konfigurera routeråtkomst, inloggningsuppgifter och Windows-nätverkskopplingar på ett och samma ställe."
DesktopScreenshotCaption4,153,Текст,,Sign in with an access token on supported Keenetic and Netcraze firmware.,Inicia sesión con un token de acceso en firmware compatible de Keenetic y Netcraze.,Accedi con un token di accesso sui firmware Keenetic e Netcraze supportati.,Inicie sessão com um token de acesso em firmware Keenetic e Netcraze compatível.,Входите с помощью токена доступа на поддерживаемых прошивках Keenetic и Netcraze.,Desteklenen Keenetic ve Netcraze ürün yazılımlarında erişim belirteciyle oturum açın.,Connectez-vous avec un jeton d’accès sur les firmwares Keenetic et Netcraze compatibles.,Sign in with an access token on supported Keenetic and Netcraze firmware.,Log på med et adgangstoken på understøttet Keenetic- og Netcraze-firmware.,Melden Sie sich auf unterstützter Keenetic- und Netcraze-Firmware mit einem Zugriffstoken an.,Loguj się tokenem dostępu w obsługiwanym oprogramowaniu Keenetic i Netcraze.,Входьте за допомогою токена доступу на підтримуваних прошивках Keenetic і Netcraze.,Kirjaudu käyttöoikeustunnuksella tuettuun Keenetic- tai Netcraze-laiteohjelmistoon.,Logga in med en åtkomsttoken på fast programvara från Keenetic och Netcraze som stöds.
DesktopScreenshotCaption5,154,Текст,,"Choose automatic profile selection, Windows startup, and policy change notifications.","Elige la selección automática de perfiles, el inicio con Windows y las notificaciones de cambio de política.","Scegli la selezione automatica del profilo, l’avvio con Windows e le notifiche al cambio di criterio.","Escolha a seleção automática de perfis, o arranque com o Windows e as notificações de mudança de política.","Настройте автоматический выбор профиля, запуск вместе с Windows и уведомления о смене политики.","Otomatik profil seçimini, Windows ile başlangıcı ve politika değişikliği bildirimlerini ayarlayın.","Choisissez la sélection automatique du profil, le démarrage avec Windows et les notifications de changement de politique.","Choose automatic profile selection, Windows startup, and policy change notifications.","Vælg automatisk profilvalg, start med Windows og meddelelser ved skift af adgangspolitik.","Wählen Sie automatische Profilauswahl, Start mit Windows und Benachrichtigungen bei Richtlinienwechseln.","Wybierz automatyczny wybór profilu, uruchamianie z systemem Windows i powiadomienia o zmianie zasad.","Налаштуйте автоматичний вибір профілю, запуск разом із Windows і сповіщення про зміну політики.","Valitse automaattinen profiilin valinta, käynnistys Windowsin mukana ja ilmoitukset käytäntöjen vaihdoista.","Välj automatiskt profilval, start med Windows och aviseringar vid principbyte."
DesktopScreenshotCaption6,155,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption7,156,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption8,157,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption9,158,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption10,159,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption11,160,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption12,161,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption13,162,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption14,163,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption15,164,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption16,165,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption17,166,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption18,167,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption19,168,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption20,169,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption21,170,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption22,171,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption23,172,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption24,173,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption25,174,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption26,175,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption27,176,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption28,177,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption29,178,Текст,,,,,,,,,,,,,,,
DesktopScreenshotCaption30,179,Текст,,,,,,,,,,,,,,,
MobileScreenshot1,200,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot2,201,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot3,202,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot4,203,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot5,204,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot6,205,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot7,206,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot8,207,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot9,208,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot10,209,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot11,210,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot12,211,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot13,212,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot14,213,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot15,214,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot16,215,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot17,216,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot18,217,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot19,218,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot20,219,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot21,220,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot22,221,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot23,222,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot24,223,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot25,224,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot26,225,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot27,226,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot28,227,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot29,228,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshot30,229,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
MobileScreenshotCaption1,250,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption2,251,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption3,252,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption4,253,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption5,254,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption6,255,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption7,256,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption8,257,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption9,258,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption10,259,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption11,260,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption12,261,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption13,262,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption14,263,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption15,264,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption16,265,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption17,266,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption18,267,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption19,268,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption20,269,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption21,270,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption22,271,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption23,272,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption24,273,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption25,274,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption26,275,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption27,276,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption28,277,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption29,278,Текст,,,,,,,,,,,,,,,
MobileScreenshotCaption30,279,Текст,,,,,,,,,,,,,,,
XboxScreenshot1,300,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot2,301,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot3,302,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot4,303,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot5,304,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot6,305,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot7,306,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot8,307,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot9,308,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot10,309,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot11,310,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot12,311,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot13,312,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot14,313,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot15,314,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot16,315,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot17,316,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot18,317,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot19,318,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot20,319,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot21,320,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot22,321,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot23,322,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot24,323,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot25,324,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot26,325,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot27,326,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot28,327,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot29,328,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshot30,329,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
XboxScreenshotCaption1,350,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption2,351,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption3,352,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption4,353,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption5,354,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption6,355,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption7,356,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption8,357,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption9,358,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption10,359,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption11,360,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption12,361,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption13,362,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption14,363,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption15,364,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption16,365,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption17,366,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption18,367,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption19,368,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption20,369,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption21,370,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption22,371,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption23,372,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption24,373,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption25,374,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption26,375,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption27,376,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption28,377,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption29,378,Текст,,,,,,,,,,,,,,,
XboxScreenshotCaption30,379,Текст,,,,,,,,,,,,,,,
HolographicScreenshot1,400,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot2,401,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot3,402,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot4,403,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot5,404,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot6,405,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot7,406,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot8,407,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot9,408,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot10,409,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot11,410,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot12,411,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot13,412,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot14,413,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot15,414,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot16,415,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot17,416,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot18,417,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot19,418,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot20,419,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot21,420,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot22,421,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
HolographicScreenshot23,422,Относительный путь (или URL-адрес файла в Центре партнеров),,,,,,,,,,,,,,,
